,count,mean,std,min,p10,p25,p50,p75,p90,max
impression_count,11811.0,13550714.554652443,23833061.868737873,7703.0,797170.0,1904286.0,5087266.0,14635842.0,36213654.0,634387512.0
impressions_per_month,11811.0,3382788.043726563,9950971.866433682,1135.8000000000002,84462.97297297297,233377.48872180452,758325.6338028169,2565235.496373292,7585463.125,358436170.71428573
action_count,11811.0,70824.74456015578,135363.42370963847,150.0,2193.0,5880.5,20221.0,70909.0,192374.0,1519232.0
agg_post_rating,11811.0,-892.3930657861316,1338.4077259062838,-13331.5,-2025.5,-1210.25,-746.5,-475.0,-45.5,9319.5
agg_post_rating_per_impression,11811.0,-0.00047518768650354397,0.0015697639989026928,-0.0705469913076886,-0.0010925668930927,-0.0005008973603004,-0.000177605967178,-4.9248470291129336e-05,-1.3607798653281527e-06,0.0216380414039664
agg_rating_per_month,11811.0,-199.69734886708943,646.8734188439988,-21341.0,-537.0,-222.42124542124543,-93.70044052863436,-42.56425441599343,-6.913043478260869,10745.0
v_score,11811.0,19764.0791348729,61655.09439276914,8.732142857142856,224.96332518337408,662.4722127431385,2823.2692307692305,13196.410118931566,46446.875,1611199.2857142857
e_score,11811.0,-199.69734886708943,646.8734188439988,-21341.0,-537.0,-222.42124542124543,-93.70044052863436,-42.56425441599343,-6.913043478260869,10745.0
